judge_model,experiment_type,app,variant,detector_model,method,n_omissions,n_true_gaps,found_strict,found_broad,recall_strict,recall_broad
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-4.1-mini,oneshot-tracker,7,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-4.1-mini,oneshot-warehouse,7,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-4.1-mini,twoshot,7,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-4.1-mini,zeroshot,7,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-5.4,oneshot-tracker,6,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-5.4,oneshot-warehouse,7,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-5.4,twoshot,4,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-5.4,zeroshot,7,2,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,DeepSeek-V3-0324,oneshot-tracker,4,1,1,1,1.0,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,DeepSeek-V3-0324,oneshot-warehouse,4,1,1,1,1.0,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,DeepSeek-V3-0324,twoshot,5,1,1,1,1.0,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,DeepSeek-V3-0324,zeroshot,4,1,1,1,1.0,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,claude-sonnet-4-6,oneshot-tracker,4,1,1,1,1.0,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,claude-sonnet-4-6,oneshot-warehouse,6,1,1,1,1.0,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,claude-sonnet-4-6,twoshot,4,1,1,1,1.0,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,claude-sonnet-4-6,zeroshot,5,1,1,1,1.0,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-4.1-mini,oneshot-tracker,6,1,1,1,1.0,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-4.1-mini,oneshot-warehouse,9,1,1,1,1.0,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-4.1-mini,twoshot,8,1,1,1,1.0,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-4.1-mini,zeroshot,6,1,1,1,1.0,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-5.4,oneshot-tracker,4,1,1,1,1.0,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-5.4,oneshot-warehouse,6,1,1,1,1.0,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-5.4,twoshot,5,1,1,1,1.0,1.0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-5.4,zeroshot,5,1,1,1,1.0,1.0
gpt-5.4,microservices,pet-store,petorder-R8R9R10,DeepSeek-V3-0324,oneshot-tracker,6,2,2,2,1.0,1.0
gpt-5.4,microservices,pet-store,petorder-R8R9R10,DeepSeek-V3-0324,oneshot-warehouse,6,2,2,2,1.0,1.0
gpt-5.4,microservices,pet-store,petorder-R8R9R10,DeepSeek-V3-0324,twoshot,5,2,1,1,0.5,0.5
gpt-5.4,microservices,pet-store,petorder-R8R9R10,DeepSeek-V3-0324,zeroshot,5,2,1,1,0.5,0.5
gpt-5.4,microservices,pet-store,petorder-R8R9R10,claude-sonnet-4-6,oneshot-tracker,15,2,2,2,1.0,1.0
gpt-5.4,microservices,pet-store,petorder-R8R9R10,claude-sonnet-4-6,oneshot-warehouse,8,2,1,1,0.5,0.5
gpt-5.4,microservices,pet-store,petorder-R8R9R10,claude-sonnet-4-6,twoshot,9,2,2,2,1.0,1.0
gpt-5.4,microservices,pet-store,petorder-R8R9R10,claude-sonnet-4-6,zeroshot,4,2,2,2,1.0,1.0
gpt-5.4,microservices,pet-store,petorder-R8R9R10,gpt-4.1-mini,oneshot-tracker,10,2,1,1,0.5,0.5
gpt-5.4,microservices,pet-store,petorder-R8R9R10,gpt-4.1-mini,oneshot-warehouse,10,2,1,1,0.5,0.5
