judge_model,experiment_type,app,variant,detector_model,method,n_omission_items,n_delta,n_true_gaps,n_invalid,found_delta_strict,found_gaps_strict,precision_dedup_strict,recall_dedup_strict,found_delta_broad,found_gaps_broad,precision_dedup_broad,recall_dedup_broad
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-4.1-mini,oneshot-tracker,7,8,2,0,3,2,0.6666666666666666,1.0,4,2,0.5,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-4.1-mini,oneshot-warehouse,9,8,2,0,5,2,0.4,1.0,5,2,0.4,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-4.1-mini,twoshot,12,8,2,0,5,2,0.4,1.0,6,2,0.3333333333333333,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-4.1-mini,zeroshot,6,8,2,0,3,2,0.6666666666666666,1.0,4,2,0.5,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-5.4,oneshot-tracker,5,8,2,0,2,2,1.0,1.0,2,2,1.0,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-5.4,oneshot-warehouse,4,8,2,0,1,1,1.0,0.5,2,2,1.0,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-5.4,twoshot,3,8,2,0,2,2,1.0,1.0,2,2,1.0,1.0
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-5.4,zeroshot,2,8,2,0,2,2,1.0,1.0,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,DeepSeek-V3-0324,oneshot-tracker,3,3,2,0,1,1,1.0,0.5,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,DeepSeek-V3-0324,oneshot-warehouse,4,3,2,0,1,1,1.0,0.5,3,2,0.6666666666666666,1.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,DeepSeek-V3-0324,twoshot,3,3,2,0,0,0,,0.0,1,1,1.0,0.5
gpt-5.4,microservices,nutrition,auth-R1R2R3,DeepSeek-V3-0324,zeroshot,3,3,2,0,1,1,1.0,0.5,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,claude-sonnet-4-6,oneshot-tracker,4,3,2,0,1,1,1.0,0.5,3,2,0.6666666666666666,1.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,claude-sonnet-4-6,oneshot-warehouse,6,3,2,0,1,1,1.0,0.5,2,2,1.0,1.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,claude-sonnet-4-6,twoshot,5,3,2,0,1,1,1.0,0.5,2,2,1.0,1.0
