judge_model,experiment_type,app,variant,detector_model,method,n_omissions,tp_strict,fp_tracked_strict,excluded_strict,unknown_strict,precision_tracked_strict,exclusion_rate_strict,tp_broad,fp_tracked_broad,excluded_broad,unknown_broad,precision_tracked_broad,exclusion_rate_broad
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-5.4,oneshot-warehouse,4,1,0,3,0,1.0,0.75,3,0,1,0,1.0,0.25
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-5.4,twoshot,3,2,0,1,0,1.0,0.3333333333333333,2,0,1,0,1.0,0.3333333333333333
gpt-5.4,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-5.4,zeroshot,2,2,0,0,0,1.0,0.0,2,0,0,0,1.0,0.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,DeepSeek-V3-0324,oneshot-tracker,3,1,0,2,0,1.0,0.6666666666666666,2,0,1,0,1.0,0.3333333333333333
gpt-5.4,microservices,nutrition,auth-R1R2R3,DeepSeek-V3-0324,oneshot-warehouse,4,1,0,3,0,1.0,0.75,3,1,0,0,0.75,0.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,DeepSeek-V3-0324,twoshot,3,0,0,3,0,,1.0,2,0,1,0,1.0,0.3333333333333333
gpt-5.4,microservices,nutrition,auth-R1R2R3,DeepSeek-V3-0324,zeroshot,3,1,0,2,0,1.0,0.6666666666666666,3,0,0,0,1.0,0.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,claude-sonnet-4-6,oneshot-tracker,4,1,0,3,0,1.0,0.75,3,1,0,0,0.75,0.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,claude-sonnet-4-6,oneshot-warehouse,6,1,0,5,0,1.0,0.8333333333333334,5,0,1,0,1.0,0.16666666666666666
gpt-5.4,microservices,nutrition,auth-R1R2R3,claude-sonnet-4-6,twoshot,5,1,0,4,0,1.0,0.8,5,0,0,0,1.0,0.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,claude-sonnet-4-6,zeroshot,5,1,0,4,0,1.0,0.8,4,1,0,0,0.8,0.0
gpt-5.4,microservices,nutrition,auth-R1R2R3,gpt-4.1-mini,oneshot-tracker,10,2,0,8,0,1.0,0.8,3,0,7,0,1.0,0.7
gpt-5.4,microservices,nutrition,auth-R1R2R3,gpt-4.1-mini,oneshot-warehouse,7,2,1,4,0,0.6666666666666666,0.5714285714285714,3,1,3,0,0.75,0.42857142857142855
gpt-5.4,microservices,nutrition,auth-R1R2R3,gpt-4.1-mini,twoshot,8,1,0,7,0,1.0,0.875,3,1,4,0,0.75,0.5
gpt-5.4,microservices,nutrition,auth-R1R2R3,gpt-4.1-mini,zeroshot,7,1,0,6,0,1.0,0.8571428571428571,3,0,4,0,1.0,0.5714285714285714
gpt-5.4,microservices,nutrition,auth-R1R2R3,gpt-5.4,oneshot-tracker,6,3,0,3,0,1.0,0.5,5,0,1,0,1.0,0.16666666666666666
gpt-5.4,microservices,nutrition,auth-R1R2R3,gpt-5.4,oneshot-warehouse,4,2,0,2,0,1.0,0.5,3,0,1,0,1.0,0.25
gpt-5.4,microservices,nutrition,auth-R1R2R3,gpt-5.4,twoshot,7,3,0,4,0,1.0,0.5714285714285714,5,1,1,0,0.8333333333333334,0.14285714285714285
gpt-5.4,microservices,nutrition,auth-R1R2R3,gpt-5.4,zeroshot,5,3,0,2,0,1.0,0.4,4,0,1,0,1.0,0.2
gpt-5.4,microservices,nutrition,dishes-R4R5R6,DeepSeek-V3-0324,oneshot-tracker,5,1,0,4,0,1.0,0.8,1,0,4,0,1.0,0.8
gpt-5.4,microservices,nutrition,dishes-R4R5R6,DeepSeek-V3-0324,oneshot-warehouse,5,1,0,4,0,1.0,0.8,1,0,4,0,1.0,0.8
gpt-5.4,microservices,nutrition,dishes-R4R5R6,DeepSeek-V3-0324,twoshot,5,1,0,4,0,1.0,0.8,1,0,4,0,1.0,0.8
gpt-5.4,microservices,nutrition,dishes-R4R5R6,DeepSeek-V3-0324,zeroshot,5,1,0,4,0,1.0,0.8,1,2,2,0,0.3333333333333333,0.4
gpt-5.4,microservices,nutrition,dishes-R4R5R6,claude-sonnet-4-6,oneshot-tracker,8,4,0,4,0,1.0,0.5,5,1,2,0,0.8333333333333334,0.25
gpt-5.4,microservices,nutrition,dishes-R4R5R6,claude-sonnet-4-6,oneshot-warehouse,4,3,0,1,0,1.0,0.25,3,1,0,0,0.75,0.0
gpt-5.4,microservices,nutrition,dishes-R4R5R6,claude-sonnet-4-6,twoshot,6,5,0,1,0,1.0,0.16666666666666666,5,1,0,0,0.8333333333333334,0.0
gpt-5.4,microservices,nutrition,dishes-R4R5R6,claude-sonnet-4-6,zeroshot,5,3,0,2,0,1.0,0.4,3,1,1,0,0.75,0.2
gpt-5.4,microservices,nutrition,dishes-R4R5R6,gpt-4.1-mini,oneshot-tracker,7,1,0,6,0,1.0,0.8571428571428571,2,2,3,0,0.5,0.42857142857142855
gpt-5.4,microservices,nutrition,dishes-R4R5R6,gpt-4.1-mini,oneshot-warehouse,7,1,0,6,0,1.0,0.8571428571428571,2,0,5,0,1.0,0.7142857142857143
gpt-5.4,microservices,nutrition,dishes-R4R5R6,gpt-4.1-mini,twoshot,5,1,0,4,0,1.0,0.8,2,0,3,0,1.0,0.6
gpt-5.4,microservices,nutrition,dishes-R4R5R6,gpt-4.1-mini,zeroshot,6,1,0,5,0,1.0,0.8333333333333334,1,0,5,0,1.0,0.8333333333333334
gpt-5.4,microservices,nutrition,dishes-R4R5R6,gpt-5.4,oneshot-tracker,5,2,0,3,0,1.0,0.6,3,1,1,0,0.75,0.2
gpt-5.4,microservices,nutrition,dishes-R4R5R6,gpt-5.4,oneshot-warehouse,6,2,0,4,0,1.0,0.6666666666666666,4,1,1,0,0.8,0.16666666666666666
gpt-5.4,microservices,nutrition,dishes-R4R5R6,gpt-5.4,twoshot,7,2,0,5,0,1.0,0.7142857142857143,3,1,3,0,0.75,0.42857142857142855
gpt-5.4,microservices,nutrition,dishes-R4R5R6,gpt-5.4,zeroshot,7,3,0,4,0,1.0,0.5714285714285714,4,1,2,0,0.8,0.2857142857142857
gpt-5.4,microservices,nutrition,profiles-R7R8R9,DeepSeek-V3-0324,oneshot-tracker,5,2,0,3,0,1.0,0.6,2,0,3,0,1.0,0.6
gpt-5.4,microservices,nutrition,profiles-R7R8R9,DeepSeek-V3-0324,oneshot-warehouse,4,2,0,2,0,1.0,0.5,2,0,2,0,1.0,0.5
gpt-5.4,microservices,nutrition,profiles-R7R8R9,DeepSeek-V3-0324,twoshot,4,1,0,3,0,1.0,0.75,2,0,2,0,1.0,0.5
gpt-5.4,microservices,nutrition,profiles-R7R8R9,DeepSeek-V3-0324,zeroshot,4,2,0,2,0,1.0,0.5,2,1,1,0,0.6666666666666666,0.25
gpt-5.4,microservices,nutrition,profiles-R7R8R9,claude-sonnet-4-6,oneshot-tracker,5,2,0,3,0,1.0,0.6,2,0,3,0,1.0,0.6
gpt-5.4,microservices,nutrition,profiles-R7R8R9,claude-sonnet-4-6,oneshot-warehouse,4,2,0,2,0,1.0,0.5,2,1,1,0,0.6666666666666666,0.25
gpt-5.4,microservices,nutrition,profiles-R7R8R9,claude-sonnet-4-6,twoshot,4,1,0,3,0,1.0,0.75,1,0,3,0,1.0,0.75
gpt-5.4,microservices,nutrition,profiles-R7R8R9,claude-sonnet-4-6,zeroshot,4,3,0,1,0,1.0,0.25,3,0,1,0,1.0,0.25
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-4.1-mini,oneshot-tracker,7,2,0,5,0,1.0,0.7142857142857143,2,1,4,0,0.6666666666666666,0.5714285714285714
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-4.1-mini,oneshot-warehouse,7,2,0,5,0,1.0,0.7142857142857143,2,1,4,0,0.6666666666666666,0.5714285714285714
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-4.1-mini,twoshot,7,2,0,5,0,1.0,0.7142857142857143,2,1,4,0,0.6666666666666666,0.5714285714285714
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-4.1-mini,zeroshot,7,2,0,5,0,1.0,0.7142857142857143,3,1,3,0,0.75,0.42857142857142855
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-5.4,oneshot-tracker,6,3,0,3,0,1.0,0.5,3,0,3,0,1.0,0.5
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-5.4,oneshot-warehouse,7,2,0,5,0,1.0,0.7142857142857143,2,0,5,0,1.0,0.7142857142857143
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-5.4,twoshot,4,2,0,2,0,1.0,0.5,2,0,2,0,1.0,0.5
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-5.4,zeroshot,7,3,0,4,0,1.0,0.5714285714285714,3,0,4,0,1.0,0.5714285714285714
gpt-5.4,microservices,nutrition,ratings-R10R11R12,DeepSeek-V3-0324,oneshot-tracker,4,1,1,2,0,0.5,0.5,1,1,2,0,0.5,0.5
gpt-5.4,microservices,nutrition,ratings-R10R11R12,DeepSeek-V3-0324,oneshot-warehouse,4,1,0,3,0,1.0,0.75,1,1,2,0,0.5,0.5
gpt-5.4,microservices,nutrition,ratings-R10R11R12,DeepSeek-V3-0324,twoshot,5,2,1,2,0,0.6666666666666666,0.4,2,2,1,0,0.5,0.2
gpt-5.4,microservices,nutrition,ratings-R10R11R12,DeepSeek-V3-0324,zeroshot,4,1,1,2,0,0.5,0.5,1,1,2,0,0.5,0.5
gpt-5.4,microservices,nutrition,ratings-R10R11R12,claude-sonnet-4-6,oneshot-tracker,4,2,0,2,0,1.0,0.5,2,1,1,0,0.6666666666666666,0.25
gpt-5.4,microservices,nutrition,ratings-R10R11R12,claude-sonnet-4-6,oneshot-warehouse,6,2,0,4,0,1.0,0.6666666666666666,2,0,4,0,1.0,0.6666666666666666
gpt-5.4,microservices,nutrition,ratings-R10R11R12,claude-sonnet-4-6,twoshot,4,2,0,2,0,1.0,0.5,2,1,1,0,0.6666666666666666,0.25
gpt-5.4,microservices,nutrition,ratings-R10R11R12,claude-sonnet-4-6,zeroshot,5,1,0,4,0,1.0,0.8,2,1,2,0,0.6666666666666666,0.4
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-4.1-mini,oneshot-tracker,6,2,2,2,0,0.5,0.3333333333333333,2,2,2,0,0.5,0.3333333333333333
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-4.1-mini,oneshot-warehouse,9,2,2,5,0,0.5,0.5555555555555556,2,2,5,0,0.5,0.5555555555555556
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-4.1-mini,twoshot,8,2,1,5,0,0.6666666666666666,0.625,2,1,5,0,0.6666666666666666,0.625
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-4.1-mini,zeroshot,6,1,1,4,0,0.5,0.6666666666666666,1,2,3,0,0.3333333333333333,0.5
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-5.4,oneshot-tracker,4,1,0,3,0,1.0,0.75,1,0,3,0,1.0,0.75
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-5.4,oneshot-warehouse,6,1,1,4,0,0.5,0.6666666666666666,1,1,4,0,0.5,0.6666666666666666
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-5.4,twoshot,5,1,0,4,0,1.0,0.8,2,0,3,0,1.0,0.6
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-5.4,zeroshot,5,2,0,3,0,1.0,0.6,2,0,3,0,1.0,0.6
gpt-5.4,microservices,pet-store,petorder-R8R9R10,DeepSeek-V3-0324,oneshot-tracker,6,2,0,4,0,1.0,0.6666666666666666,2,0,4,0,1.0,0.6666666666666666
gpt-5.4,microservices,pet-store,petorder-R8R9R10,DeepSeek-V3-0324,oneshot-warehouse,6,2,0,4,0,1.0,0.6666666666666666,2,0,4,0,1.0,0.6666666666666666
gpt-5.4,microservices,pet-store,petorder-R8R9R10,DeepSeek-V3-0324,twoshot,5,1,0,4,0,1.0,0.8,1,0,4,0,1.0,0.8
